model_tag,protocol,feature_set,true_label,pred_label,count
ALL,group_split_by_model_task_layer,full,banded,banded,29
ALL,group_split_by_model_task_layer,full,banded,lowrank,0
ALL,group_split_by_model_task_layer,full,banded,monarch,2
ALL,group_split_by_model_task_layer,full,lowrank,banded,0
ALL,group_split_by_model_task_layer,full,lowrank,lowrank,6645
ALL,group_split_by_model_task_layer,full,lowrank,monarch,209
ALL,group_split_by_model_task_layer,full,monarch,banded,32
ALL,group_split_by_model_task_layer,full,monarch,lowrank,11
ALL,group_split_by_model_task_layer,full,monarch,monarch,656
ALL,leave_one_prompt::BZ01,full,banded,banded,25
ALL,leave_one_prompt::BZ01,full,banded,lowrank,0
ALL,leave_one_prompt::BZ01,full,banded,monarch,0
ALL,leave_one_prompt::BZ01,full,lowrank,banded,0
ALL,leave_one_prompt::BZ01,full,lowrank,lowrank,2285
ALL,leave_one_prompt::BZ01,full,lowrank,monarch,97
ALL,leave_one_prompt::BZ01,full,monarch,banded,24
ALL,leave_one_prompt::BZ01,full,monarch,lowrank,1
ALL,leave_one_prompt::BZ01,full,monarch,monarch,144
ALL,leave_one_prompt::BZ02,full,banded,banded,25
ALL,leave_one_prompt::BZ02,full,banded,lowrank,0
ALL,leave_one_prompt::BZ02,full,banded,monarch,2
ALL,leave_one_prompt::BZ02,full,lowrank,banded,0
ALL,leave_one_prompt::BZ02,full,lowrank,lowrank,2288
ALL,leave_one_prompt::BZ02,full,lowrank,monarch,92
ALL,leave_one_prompt::BZ02,full,monarch,banded,20
ALL,leave_one_prompt::BZ02,full,monarch,lowrank,1
ALL,leave_one_prompt::BZ02,full,monarch,monarch,148
ALL,leave_one_prompt::BZ05,full,banded,banded,24
ALL,leave_one_prompt::BZ05,full,banded,lowrank,0
ALL,leave_one_prompt::BZ05,full,banded,monarch,0
ALL,leave_one_prompt::BZ05,full,lowrank,banded,0
ALL,leave_one_prompt::BZ05,full,lowrank,lowrank,2291
ALL,leave_one_prompt::BZ05,full,lowrank,monarch,71
ALL,leave_one_prompt::BZ05,full,monarch,banded,25
